Mức độ tự tin,Chất lượng giấc ngủ,Áp lực học tập,Lo âu tương lai,Mức độ bị bắt nạt,Hỗ trợ xã hội,Mức độ Stress
28,5,2,1,1,3,0
21,3,3,2,2,3,1
23,5,1,5,3,1,0
13,1,3,5,4,1,2
9,1,4,5,5,1,2
9,1,5,4,5,1,2
24,3,2,2,3,2,1
7,3,0,5,0,1,0
5,1,3,4,5,1,2
7,1,3,4,5,1,2
10,1,3,4,5,1,2
13,1,3,5,4,1,2
13,1,0,5,1,1,2
15,2,3,2,2,3,1
11,5,5,3,3,1,0
26,4,1,1,1,3,0
24,3,3,3,3,2,1
29,5,1,1,1,3,0
6,1,3,4,4,1,2
19,2,3,3,3,3,1
24,2,2,2,3,2,1
26,4,2,1,1,3,0
6,1,3,4,3,0,0
24,2,2,3,4,1,1
23,2,2,2,3,3,1
24,2,2,2,2,2,1
3,1,4,4,5,1,2
30,4,1,1,1,3,0
24,2,3,2,3,2,1
8,4,1,2,5,1,2
19,2,2,2,2,2,1
17,3,2,3,2,2,1
22,3,2,2,2,2,1
26,4,1,1,1,3,0
30,4,1,1,1,3,0
30,5,1,1,1,3,0
20,2,2,2,3,2,1
9,1,3,4,4,1,2
13,1,5,5,5,1,2
2,1,4,5,5,1,2
25,2,3,3,3,3,1
21,3,3,2,3,3,1
26,4,2,1,1,3,0
22,3,2,2,2,2,1
22,4,2,0,0,0,1
16,3,3,2,2,3,1
21,2,3,3,3,3,1
26,4,1,1,1,3,0
27,4,2,1,1,3,0
30,4,2,1,1,3,0
7,1,5,5,5,1,2
10,1,5,5,5,1,2
27,4,1,1,1,3,0
6,1,3,5,4,1,2
18,3,3,2,2,3,1
25,4,3,2,0,1,0
20,3,2,3,3,3,1
30,4,2,1,1,3,0
20,2,2,2,3,0,1
28,5,2,1,1,3,0
30,4,1,1,1,3,0
20,2,2,3,2,3,1
20,4,0,3,3,0,1
26,5,2,1,1,3,0
19,3,2,3,3,3,1
30,4,2,1,1,3,0
24,2,2,3,3,3,1
17,3,2,3,3,3,1
18,2,3,3,3,2,1
25,3,3,3,2,3,1
11,1,5,5,5,1,2
29,4,1,1,1,3,0
28,4,2,1,1,3,0
25,3,2,2,2,2,1
30,5,2,1,1,3,0
2,1,5,4,4,1,2
4,1,4,4,4,1,2
29,4,2,1,1,3,0
21,2,3,2,5,0,0
15,1,4,4,4,1,2
8,1,4,5,5,1,2
11,2,1,5,1,0,1
16,3,3,3,2,3,1
13,1,4,4,4,1,2
27,5,2,1,1,3,0
7,1,5,4,5,1,2
9,1,4,4,4,1,2
1,0,4,2,2,1,2
27,1,2,3,5,1,2
8,0,1,2,3,0,2
30,5,1,1,1,3,0
8,1,3,5,5,1,2
9,1,3,5,4,1,2
30,3,4,2,3,1,0
29,5,2,1,1,3,0
26,5,2,1,1,3,0
18,4,1,3,3,0,0
5,1,5,5,5,1,2
22,4,3,0,3,0,1
9,5,4,5,5,1,0
24,3,2,2,3,3,1
17,3,3,2,2,2,1
21,4,5,4,4,1,1
28,4,2,1,1,3,0
23,2,3,2,3,2,1
23,5,4,1,5,0,0
7,1,4,5,5,1,2
26,4,2,1,1,3,0
21,5,4,3,1,1,1
28,4,1,1,1,3,0
23,3,3,3,3,2,1
0,1,4,5,5,1,2
21,3,3,3,3,3,1
30,5,1,1,1,3,0
17,2,3,2,3,3,1
16,2,0,5,3,1,0
22,1,0,3,2,0,1
28,4,2,1,1,3,0
26,4,2,1,1,3,0
7,1,3,4,4,1,2
28,5,2,1,1,3,0
26,5,2,1,1,3,0
18,3,3,2,3,2,1
2,0,0,2,2,1,0
28,5,2,1,1,3,0
11,1,5,4,5,1,2
6,1,4,5,4,1,2
16,3,2,4,0,1,1
20,2,2,2,3,2,1
30,4,2,1,1,3,0
28,4,1,1,1,3,0
15,1,5,5,5,1,2
19,2,2,2,2,2,1
16,3,3,2,3,2,1
29,4,1,1,1,3,0
25,5,2,1,1,3,0
28,5,2,1,1,3,0
17,2,3,3,2,2,1
26,4,2,1,1,3,0
15,3,2,2,2,3,1
0,2,5,2,1,1,0
30,4,1,1,1,3,0
7,2,5,4,0,0,1
3,1,5,4,5,1,2
19,2,2,3,2,3,1
2,1,4,5,4,1,2
4,1,5,5,4,1,2
15,1,3,4,4,1,2
8,1,5,5,4,1,2
8,1,3,4,4,1,2
0,1,4,4,4,1,2
7,1,5,5,5,1,2
15,1,4,5,4,1,2
23,3,2,2,2,3,1
16,3,3,3,3,3,1
15,3,2,2,3,3,1
1,1,5,5,5,1,2
14,1,4,4,5,1,2
14,1,5,4,5,1,2
26,5,1,1,1,3,0
17,2,2,3,2,3,1
29,4,2,1,1,3,0
29,4,1,1,1,3,0
29,5,0,5,3,0,0
19,3,2,2,2,3,1
15,2,2,2,3,2,1
28,5,1,1,1,3,0
15,3,2,3,2,2,1
25,4,1,1,1,3,0
29,0,1,0,4,0,0
29,4,2,1,1,3,0
30,4,2,1,1,3,0
30,4,1,1,1,3,0
27,5,1,1,1,3,0
4,1,4,5,5,1,2
9,4,5,4,0,1,2
19,2,3,2,3,3,1
3,1,4,4,4,1,2
0,1,4,5,5,1,2
20,3,3,3,3,3,1
28,5,2,1,1,3,0
13,1,5,5,4,1,2
23,4,2,2,4,0,1
20,3,3,2,3,2,1
25,5,1,1,1,3,0
1,1,3,5,5,1,2
18,2,2,3,3,3,1
27,0,0,1,0,0,0
7,1,4,4,4,1,2
21,2,2,3,3,3,1
23,3,2,2,2,3,1
11,1,5,5,4,1,2
25,5,1,1,1,3,0
23,2,2,2,2,3,1
0,1,3,4,4,1,2
16,3,2,2,3,3,1
26,1,3,3,5,1,2
1,1,5,5,4,1,2
25,5,1,1,1,3,0
11,5,1,1,1,1,2
26,4,1,1,1,3,0
8,1,5,5,5,1,2
8,1,4,4,5,1,2
11,1,3,5,4,1,2
1,1,4,5,4,1,2
30,4,2,1,1,3,0
9,1,4,4,5,1,2
7,0,4,1,0,0,1
7,5,1,1,0,1,0
11,1,4,4,5,1,2
25,5,2,1,1,3,0
3,1,2,1,3,1,0
18,3,3,2,3,3,1
20,2,3,2,3,2,1
11,4,0,4,4,1,2
19,2,2,2,3,3,1
15,2,3,2,2,3,1
25,2,2,3,3,3,1
11,1,3,5,5,1,2
0,1,1,1,4,1,2
0,1,4,5,4,1,2
30,5,1,1,1,3,0
26,4,2,1,1,3,0
28,2,4,0,2,1,2
27,4,2,1,1,3,0
7,4,0,3,5,0,1
1,1,5,4,5,1,2
21,3,3,2,3,2,1
26,4,2,1,1,3,0
14,1,3,4,5,1,2
20,2,2,3,3,3,1
28,5,1,1,1,3,0
11,1,4,5,4,1,2
4,2,1,0,1,0,2
22,3,3,2,2,2,1
29,4,2,1,1,3,0
27,5,1,1,1,3,0
29,5,2,1,1,3,0
16,2,2,3,3,3,1
28,4,1,1,1,3,0
3,3,4,3,0,0,1
21,1,1,0,5,0,1
26,4,1,1,1,3,0
25,5,2,1,1,3,0
4,5,1,4,2,0,1
28,4,1,1,1,3,0
13,1,3,4,4,1,2
15,3,2,3,2,2,1
11,1,3,4,5,1,2
15,1,3,4,4,1,2
9,1,5,4,4,1,2
13,1,5,4,4,1,2
28,2,3,2,5,1,0
14,1,5,5,5,1,2
30,4,1,1,1,3,0
4,0,2,2,5,0,1
9,1,5,4,4,1,2
19,3,3,0,3,1,0
10,5,1,5,4,1,0
29,4,1,1,1,3,0
2,5,2,5,0,1,1
17,2,2,3,3,3,1
2,2,2,4,0,0,1
0,1,4,5,4,1,2
12,1,5,4,4,1,2
23,2,2,3,2,2,1
18,2,2,3,2,3,1
13,1,5,5,5,1,2
26,4,2,1,1,3,0
6,1,3,4,5,1,2
9,1,4,5,4,1,2
23,3,0,0,5,0,2
7,1,3,4,5,1,2
11,1,5,4,5,1,2
23,2,2,3,2,3,1
29,5,2,1,1,3,0
25,4,2,1,1,3,0
19,4,3,5,5,0,1
18,3,0,5,2,0,0
9,0,4,4,3,0,1
12,1,3,5,4,1,2
16,2,3,3,3,2,1
29,5,2,1,1,3,0
4,1,5,5,4,1,2
16,4,4,4,0,1,1
7,0,4,0,2,0,1
6,1,4,4,5,1,2
8,1,4,5,5,1,2
10,1,5,5,4,1,2
26,4,2,1,1,3,0
1,4,3,5,2,1,0
18,4,5,0,0,0,1
17,2,2,2,2,3,1
11,1,5,5,4,1,2
5,1,3,4,5,1,2
17,3,3,2,2,3,1
14,5,5,3,3,0,1
2,0,3,2,0,1,0
19,2,2,3,3,2,1
14,3,1,0,0,0,0
27,5,1,1,1,3,0
19,2,2,2,3,2,1
13,1,4,4,4,1,2
27,4,1,1,1,3,0
11,1,3,5,5,1,2
29,5,2,1,1,3,0
2,3,5,4,5,0,1
12,1,4,4,4,1,2
27,4,1,1,1,3,0
18,2,3,3,2,2,1
17,2,3,2,2,2,1
6,1,3,4,4,1,2
6,5,1,3,0,0,2
25,5,1,1,1,3,0
16,0,2,4,0,0,2
26,4,2,1,1,3,0
15,1,3,4,4,1,2
22,3,2,2,3,2,1
23,2,2,3,2,3,1
30,4,4,0,1,0,0
28,5,1,1,1,3,0
6,1,4,5,5,1,2
16,2,3,3,3,3,1
23,5,3,5,4,0,1
17,3,5,3,5,0,0
23,3,2,3,2,2,1
12,1,4,4,4,1,2
18,3,3,3,2,3,1
15,2,2,3,3,2,1
29,4,1,1,1,3,0
15,1,4,5,5,1,2
18,2,3,2,3,2,1
28,5,1,1,1,3,0
28,4,1,1,1,3,0
22,3,3,3,3,3,1
17,2,3,3,3,3,1
25,5,2,1,1,3,0
20,3,4,0,3,0,0
11,1,4,5,4,1,2
21,3,2,2,3,3,1
14,1,5,4,4,1,2
11,1,4,5,4,1,2
2,1,3,5,4,1,2
14,1,5,4,4,1,2
30,5,1,1,1,3,0
4,1,5,5,4,1,2
27,4,1,1,1,3,0
27,4,2,1,1,3,0
23,1,3,5,1,0,2
21,3,3,2,2,2,1
30,5,2,1,1,3,0
20,2,2,3,2,2,1
15,3,2,2,3,3,1
29,5,1,1,1,3,0
17,2,2,3,3,2,1
26,5,2,1,1,3,0
24,2,3,2,3,2,1
30,5,0,4,0,1,0
28,5,1,1,1,3,0
26,5,2,1,1,3,0
11,1,3,4,5,1,2
13,0,4,1,2,1,0
30,5,2,1,1,3,0
18,2,2,2,3,2,1
16,3,3,2,2,2,1
10,1,4,4,5,1,2
14,1,5,4,4,1,2
19,2,2,3,3,3,1
24,3,2,3,2,3,1
25,5,1,1,1,3,0
3,1,4,4,4,1,2
30,4,2,1,1,3,0
25,3,3,2,3,3,1
22,2,2,3,2,2,1
8,3,2,3,1,1,2
0,1,4,4,4,1,2
25,4,1,1,1,3,0
26,5,1,5,5,0,0
20,3,3,3,3,3,1
29,4,1,1,1,3,0
11,2,2,2,3,0,0
23,3,3,2,2,3,1
28,5,1,1,1,3,0
14,1,4,5,5,1,2
25,4,1,1,1,3,0
25,5,1,1,1,3,0
24,2,5,2,0,1,0
25,4,1,1,1,3,0
24,2,2,2,2,2,1
29,4,1,1,1,3,0
1,1,3,4,4,1,2
26,4,2,1,1,3,0
1,3,0,3,0,1,2
15,3,3,2,2,3,1
2,1,3,5,4,1,2
15,1,1,3,5,1,2
15,1,5,4,5,1,2
18,2,3,2,2,3,1
22,2,2,2,3,3,1
6,1,4,5,4,1,2
11,1,5,3,2,1,1
18,3,2,3,3,3,1
25,5,2,1,1,3,0
25,4,2,1,1,3,0
5,1,4,4,5,1,2
7,1,4,4,5,1,2
17,3,3,2,3,3,1
27,4,2,1,1,3,0
29,4,1,1,1,3,0
27,5,2,2,3,1,2
15,5,0,0,5,1,0
22,2,3,3,3,3,1
27,5,2,1,1,3,0
16,3,3,2,3,2,1
25,2,2,2,3,2,1
22,2,2,3,2,3,1
29,5,2,1,1,3,0
30,4,1,1,1,3,0
25,3,3,3,2,3,1
15,1,5,4,4,1,2
19,3,3,2,3,2,1
23,3,2,2,2,2,1
19,3,3,3,3,3,1
17,3,3,3,3,2,1
29,5,1,1,1,3,0
24,3,2,2,2,3,1
17,2,2,2,2,3,1
30,5,2,1,1,3,0
15,3,3,2,2,3,1
22,2,2,2,2,2,1
22,3,2,2,3,2,1
26,5,1,1,1,3,0
25,2,3,3,3,2,1
28,4,2,1,1,3,0
13,1,3,5,4,1,2
30,4,0,5,2,0,0
6,1,4,5,5,1,2
5,5,4,1,4,1,1
2,1,3,5,4,1,2
24,2,2,2,3,2,1
29,2,5,0,2,1,1
26,4,1,1,1,3,0
21,2,3,2,3,3,1
30,4,1,1,1,3,0
7,1,3,4,4,1,2
10,1,5,5,5,1,2
30,5,2,1,1,3,0
10,1,4,4,4,1,2
16,3,2,3,2,3,1
27,4,2,1,1,3,0
26,4,2,1,1,3,0
16,3,4,1,0,1,0
29,0,4,0,5,1,1
25,5,2,1,1,3,0
30,5,1,1,1,3,0
25,4,1,1,1,3,0
28,5,1,1,1,3,0
27,4,1,1,1,3,0
17,3,2,2,2,2,1
8,1,3,4,4,1,2
25,4,1,1,1,3,0
16,3,2,3,2,2,1
23,2,2,2,3,3,1
20,2,2,2,3,3,1
11,1,3,5,5,1,2
13,1,3,4,5,1,2
25,5,2,1,1,3,0
26,4,2,1,1,3,0
15,2,3,3,3,2,1
18,2,2,2,2,2,1
25,5,2,1,1,3,0
17,2,5,5,4,1,0
11,4,4,1,4,1,0
18,3,3,3,3,3,1
26,5,2,1,1,3,0
26,4,2,1,1,3,0
24,3,2,2,3,3,1
17,2,3,3,3,2,1
6,5,5,4,1,1,2
21,3,3,3,2,3,1
11,1,5,4,5,1,2
20,2,3,1,1,1,0
23,3,3,3,2,3,1
0,1,4,4,4,1,2
26,5,1,1,1,3,0
15,2,3,3,2,2,1
25,5,2,1,1,3,0
15,2,2,3,2,3,1
27,4,2,1,1,3,0
9,1,3,5,4,1,2
8,1,5,5,5,1,2
26,5,1,1,1,3,0
11,1,3,5,4,1,2
27,3,3,5,5,0,2
1,5,1,4,3,0,2
21,5,4,5,1,1,1
27,5,1,1,1,3,0
25,5,1,1,1,3,0
25,4,2,1,1,3,0
21,2,2,3,3,3,1
30,4,2,1,1,3,0
8,1,3,4,5,1,2
13,1,4,4,4,1,2
1,1,5,5,5,1,2
29,5,1,1,1,3,0
27,4,1,1,1,3,0
21,2,2,2,2,2,1
30,5,1,1,1,3,0
27,5,2,1,1,3,0
7,1,4,4,5,1,2
27,5,1,1,1,3,0
7,1,3,4,5,1,2
11,1,4,4,4,1,2
2,5,2,2,4,0,2
1,1,5,5,5,1,2
25,2,2,3,3,3,1
15,1,5,5,5,1,2
0,1,5,5,4,1,2
2,3,1,4,1,1,2
0,1,5,5,5,1,2
0,1,4,5,5,1,2
24,2,2,2,3,3,1
19,2,3,2,3,2,1
9,1,5,4,4,1,2
3,1,3,5,5,1,2
14,1,4,4,4,1,2
29,5,2,1,1,3,0
17,3,3,3,2,3,1
15,3,3,2,3,2,1
6,1,3,5,4,1,2
8,1,5,5,5,1,2
8,1,5,5,4,1,2
28,5,2,1,1,3,0
26,5,1,1,1,3,0
30,5,2,1,1,3,0
13,1,4,5,4,1,2
15,3,3,3,3,2,1
20,3,3,2,3,3,1
27,4,2,1,1,3,0
9,1,4,5,5,1,2
0,1,5,5,4,1,2
6,1,5,5,4,1,2
19,3,3,2,3,3,1
22,3,2,2,3,2,1
29,5,1,1,1,3,0
28,2,0,2,2,0,1
20,1,4,1,3,1,2
30,5,1,1,1,3,0
21,2,4,4,3,1,0
16,3,2,2,3,3,1
12,1,4,4,4,1,2
17,2,2,2,2,3,1
27,4,1,1,1,3,0
15,4,1,1,2,1,2
5,0,2,4,5,0,0
24,0,0,3,3,1,1
27,5,2,1,1,3,0
3,1,3,4,4,1,2
14,1,3,5,5,1,2
25,2,3,2,2,3,1
6,1,4,5,4,1,2
25,4,2,1,1,3,0
20,2,3,2,3,2,1
29,4,2,1,1,3,0
17,3,3,3,2,2,1
0,1,4,4,5,1,2
18,2,2,2,2,3,1
25,2,2,2,2,2,1
17,3,3,3,3,3,1
25,4,1,1,1,3,0
4,1,5,5,5,1,2
27,3,5,0,0,1,2
6,1,3,5,4,1,2
28,4,1,1,1,3,0
25,3,2,3,2,3,1
25,5,2,1,1,3,0
1,1,5,5,5,1,2
28,4,1,1,1,3,0
30,0,0,0,5,0,2
25,4,2,1,1,3,0
10,1,4,5,4,1,2
8,1,5,5,4,1,2
10,2,1,4,1,0,0
3,1,3,5,5,1,2
25,4,2,1,1,3,0
17,3,2,3,3,3,1
30,4,1,1,1,3,0
15,1,5,3,1,1,0
3,1,5,4,5,1,2
24,3,3,2,2,3,1
26,5,2,1,1,3,0
24,2,2,2,3,2,1
1,1,4,4,5,1,2
13,1,5,4,4,1,2
14,5,5,2,2,0,2
2,1,3,4,5,1,2
21,2,2,2,2,2,1
8,1,2,1,2,1,0
17,2,2,3,3,2,1
30,5,2,1,1,3,0
6,1,3,4,5,1,2
16,2,2,2,3,2,1
1,1,4,4,4,1,2
12,2,5,4,0,1,0
6,0,1,5,5,1,0
30,4,2,1,1,3,0
21,2,3,2,3,2,1
10,1,4,5,5,1,2
13,1,4,5,4,1,2
1,1,5,5,5,1,2
28,4,1,1,1,3,0
10,1,5,4,5,1,2
12,5,2,4,0,0,2
24,3,3,3,2,3,1
24,0,0,4,2,1,2
16,3,3,2,3,2,1
25,5,2,1,1,3,0
23,2,2,3,3,3,1
6,2,2,4,4,0,0
28,4,4,4,5,0,1
28,5,2,1,1,3,0
16,2,2,3,2,3,1
8,1,4,5,4,1,2
16,3,2,3,3,2,1
28,0,4,0,5,0,1
19,2,3,2,2,2,1
25,2,3,3,3,3,1
21,2,3,3,3,3,1
20,1,0,0,2,1,2
5,2,4,5,2,1,2
18,2,2,3,3,3,1
25,4,3,1,0,1,2
27,5,1,1,1,3,0
28,5,2,1,1,3,0
24,2,3,3,3,3,1
12,0,3,5,0,1,2
26,5,1,1,1,3,0
10,1,5,4,4,1,2
22,2,2,3,2,2,1
4,1,4,4,5,1,2
21,3,2,3,3,2,1
30,4,2,1,1,3,0
21,3,3,2,2,3,1
22,3,2,2,3,2,1
3,1,4,5,5,1,2
16,2,2,3,3,3,1
25,5,2,1,1,3,0
10,1,5,4,5,1,2
2,1,4,4,4,1,2
30,4,2,1,1,3,0
4,1,5,5,4,1,2
7,5,0,4,0,0,0
26,4,2,1,1,3,0
16,2,3,3,3,2,1
20,2,3,3,2,3,1
0,1,5,5,4,1,2
19,4,3,2,5,0,1
27,5,2,1,1,3,0
16,5,4,0,0,1,2
21,2,3,2,2,2,1
13,5,5,2,5,0,2
25,5,3,2,5,0,0
28,5,5,5,5,0,2
15,3,3,2,2,2,1
22,4,3,1,1,0,2
7,1,5,4,5,1,2
27,4,2,1,1,3,0
16,2,3,3,3,2,1
30,0,0,5,1,1,0
9,1,1,4,1,1,2
23,2,3,3,3,2,1
26,4,2,1,1,3,0
22,2,3,3,3,3,1
20,2,2,2,3,3,1
19,2,3,2,3,2,1
17,3,2,2,3,2,1
26,5,1,1,1,3,0
25,5,1,1,1,3,0
17,3,3,3,2,3,1
17,3,3,2,3,2,1
27,5,1,1,1,3,0
17,2,2,3,2,2,1
26,4,1,1,1,3,0
24,2,2,3,3,2,1
23,2,3,3,2,2,1
29,5,2,1,1,3,0
28,5,2,1,1,3,0
30,4,2,4,1,0,1
13,1,4,4,4,1,2
30,4,1,1,1,3,0
4,4,0,1,1,0,2
25,2,3,2,2,3,1
14,1,3,4,4,1,2
15,1,3,5,5,1,2
6,1,5,4,4,1,2
9,1,3,4,5,1,2
23,3,3,2,3,2,1
4,1,2,0,4,1,2
5,1,3,5,5,1,2
16,3,2,2,3,2,1
6,3,4,1,2,0,0
11,1,0,4,2,1,0
30,5,1,1,1,3,0
26,4,1,1,1,3,0
25,5,1,1,1,3,0
10,1,5,5,1,0,1
25,4,2,1,1,3,0
11,1,3,5,4,1,2
29,5,1,1,1,3,0
21,3,2,3,3,3,1
27,4,1,1,1,3,0
7,1,4,5,4,1,2
8,1,5,4,5,1,2
25,5,2,1,1,3,0
28,4,1,1,1,3,0
27,5,2,1,1,3,0
25,2,3,3,3,2,1
21,2,3,2,2,3,1
12,1,3,4,5,1,2
28,5,2,1,1,3,0
9,4,0,2,0,1,1
16,2,3,2,2,3,1
22,5,5,4,4,0,2
25,2,3,3,3,2,1
23,3,3,3,3,2,1
2,1,4,5,4,1,2
27,4,1,1,1,3,0
13,1,3,4,4,1,2
19,3,2,3,3,3,1
21,2,2,2,2,3,1
20,2,3,2,2,2,1
3,1,4,5,4,1,2
20,2,3,2,3,3,1
25,4,1,1,1,3,0
13,1,3,5,5,1,2
9,1,3,4,4,1,2
12,1,4,5,5,1,2
25,2,3,2,3,3,1
27,5,2,1,1,3,0
25,4,2,1,1,3,0
0,1,3,5,5,1,2
23,2,3,2,2,3,1
11,1,4,4,5,1,2
20,3,3,2,3,3,1
27,4,1,1,1,3,0
23,2,3,2,3,2,1
3,1,4,4,4,1,2
15,1,5,5,4,1,2
13,1,5,5,4,1,2
0,3,1,0,1,1,2
1,1,3,5,4,1,2
6,1,4,4,4,1,2
10,1,4,4,5,1,2
24,3,2,3,3,3,1
11,1,5,5,5,1,2
13,1,3,4,5,1,2
6,1,5,5,5,1,2
27,5,1,1,1,3,0
25,2,3,3,2,3,1
12,1,3,4,4,1,2
6,1,3,5,4,1,2
27,4,1,1,1,3,0
29,5,2,1,1,3,0
5,1,3,5,4,1,2
14,1,3,5,4,1,2
30,5,1,1,1,3,0
9,1,3,5,5,1,2
28,5,2,1,1,3,0
24,3,2,2,3,2,1
14,1,3,4,4,1,2
20,3,3,3,3,3,1
29,5,2,1,1,3,0
20,2,2,2,3,3,1
25,2,3,2,2,2,1
2,1,3,5,4,1,2
25,5,1,1,1,3,0
1,1,3,5,4,1,2
26,5,2,1,1,3,0
11,1,3,5,4,1,2
25,4,1,1,1,3,0
21,3,2,2,2,2,1
24,1,5,2,1,0,2
2,1,5,4,4,1,2
26,5,2,1,1,3,0
20,2,2,3,3,3,1
10,1,5,4,4,1,2
2,1,3,4,4,1,2
29,4,5,3,0,1,0
10,1,4,4,5,1,2
3,1,4,5,5,1,2
28,4,1,1,1,3,0
